benchmark,repetition_id,exception,tool,mtf,repeatibility
rhino,18,java.lang.NullPointerException,zest,3,0.84
rhino,19,java.lang.NullPointerException,zest,6,0.84
rhino,20,java.lang.NullPointerException,zest,38,0.84
rhino,21,java.lang.NullPointerException,zest,45,0.84
rhino,1,java.lang.NullPointerException,pest,2,1.0
rhino,2,java.lang.NullPointerException,pest,18,1.0
rhino,3,java.lang.NullPointerException,pest,13,1.0
rhino,4,java.lang.NullPointerException,pest,8,1.0
rhino,5,java.lang.NullPointerException,pest,10,1.0
rhino,6,java.lang.NullPointerException,pest,13,1.0
rhino,7,java.lang.NullPointerException,pest,17,1.0
rhino,8,java.lang.NullPointerException,pest,50,1.0
rhino,9,java.lang.NullPointerException,pest,16,1.0
rhino,10,java.lang.NullPointerException,pest,38,1.0
rhino,11,java.lang.NullPointerException,pest,37,1.0
rhino,12,java.lang.NullPointerException,pest,45,1.0
rhino,13,java.lang.NullPointerException,pest,33,1.0
rhino,14,java.lang.NullPointerException,pest,14,1.0
rhino,15,java.lang.NullPointerException,pest,3,1.0
rhino,16,java.lang.NullPointerException,pest,2,1.0
rhino,17,java.lang.NullPointerException,pest,6,1.0
rhino,18,java.lang.NullPointerException,pest,35,1.0
rhino,19,java.lang.NullPointerException,pest,14,1.0
rhino,20,java.lang.NullPointerException,pest,24,1.0
rhino,21,java.lang.NullPointerException,pest,17,1.0
rhino,22,java.lang.NullPointerException,pest,21,1.0
rhino,23,java.lang.NullPointerException,pest,22,1.0
rhino,24,java.lang.NullPointerException,pest,13,1.0
rhino,25,java.lang.NullPointerException,pest,6,1.0
rhino,1,java.lang.NullPointerException,pest2,9,0.96
rhino,2,java.lang.NullPointerException,pest2,11,0.96
rhino,3,java.lang.NullPointerException,pest2,32,0.96
rhino,4,java.lang.NullPointerException,pest2,4,0.96
rhino,5,java.lang.NullPointerException,pest2,17,0.96
rhino,6,java.lang.NullPointerException,pest2,31,0.96
rhino,7,java.lang.NullPointerException,pest2,31,0.96
rhino,8,java.lang.NullPointerException,pest2,8,0.96
rhino,9,java.lang.NullPointerException,pest2,25,0.96
rhino,10,java.lang.NullPointerException,pest2,19,0.96
rhino,11,java.lang.NullPointerException,pest2,27,0.96
rhino,12,java.lang.NullPointerException,pest2,19,0.96
rhino,13,java.lang.NullPointerException,pest2,16,0.96
rhino,14,java.lang.NullPointerException,pest2,22,0.96
rhino,15,java.lang.NullPointerException,pest2,24,0.96
rhino,16,java.lang.NullPointerException,pest2,13,0.96
rhino,17,java.lang.NullPointerException,pest2,23,0.96
rhino,18,java.lang.NullPointerException,pest2,33,0.96
rhino,19,java.lang.NullPointerException,pest2,10,0.96
rhino,20,java.lang.NullPointerException,pest2,7,0.96
rhino,21,java.lang.NullPointerException,pest2,32,0.96
rhino,22,java.lang.NullPointerException,pest2,19,0.96
rhino,23,java.lang.NullPointerException,pest2,20,0.96
rhino,24,java.lang.NullPointerException,pest2,8,0.96
bcel,1,org.apache.bcel.classfile.ClassFormatException,zest,39,1.0
bcel,2,org.apache.bcel.classfile.ClassFormatException,zest,30,1.0
bcel,3,org.apache.bcel.classfile.ClassFormatException,zest,66,1.0
bcel,4,org.apache.bcel.classfile.ClassFormatException,zest,27,1.0
bcel,5,org.apache.bcel.classfile.ClassFormatException,zest,5,1.0
bcel,6,org.apache.bcel.classfile.ClassFormatException,zest,39,1.0
bcel,7,org.apache.bcel.classfile.ClassFormatException,zest,11,1.0
bcel,8,org.apache.bcel.classfile.ClassFormatException,zest,40,1.0
bcel,9,org.apache.bcel.classfile.ClassFormatException,zest,51,1.0
bcel,10,org.apache.bcel.classfile.ClassFormatException,zest,37,1.0
bcel,11,org.apache.bcel.classfile.ClassFormatException,zest,29,1.0
bcel,12,org.apache.bcel.classfile.ClassFormatException,zest,36,1.0
bcel,13,org.apache.bcel.classfile.ClassFormatException,zest,41,1.0
bcel,14,org.apache.bcel.classfile.ClassFormatException,zest,45,1.0
bcel,15,org.apache.bcel.classfile.ClassFormatException,zest,38,1.0
bcel,16,org.apache.bcel.classfile.ClassFormatException,zest,40,1.0
